,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,own_goals,opta_index,value,transfers_balance,selected,transfers_in,transfers_out
0,88,8,6,7,False,2024-04-02T17:00:00Z,1,1,1,90,0,0,0,1,0,0,0,0,8,3,0,0.000000,45,0,5149,0,0
1,88,11,9,3,True,2024-04-07T15:00:00Z,0,1,2,90,0,0,0,1,0,0,0,0,5,0,0,0.000000,45,10,5402,107,97
2,88,20,11,2,False,2024-04-14T15:00:00Z,1,0,3,90,0,0,0,1,0,0,0,0,0,0,0,0.000000,45,76,5600,119,43
3,88,24,2,2,False,2024-04-17T16:00:00Z,1,0,3,90,0,0,0,1,0,0,0,0,2,0,0,0.000000,45,76,5600,119,43
4,88,26,14,2,True,2024-04-21T12:30:00Z,0,1,4,90,0,0,0,1,0,0,0,0,2,0,0,0.000000,45,-816,4728,68,884
5,88,37,8,2,False,2024-04-28T15:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,1,0,0,0.000000,45,-399,4335,26,425
6,88,45,7,2,False,2024-05-05T15:00:00Z,1,1,6,90,0,0,0,1,0,0,0,0,1,0,0,0.000000,45,-463,3877,31,494
7,88,52,5,2,True,2024-05-12T15:00:00Z,2,2,7,90,0,0,0,2,0,0,0,0,3,0,0,0.000000,45,-236,3647,11,247
8,88,64,13,2,False,2024-05-16T16:00:00Z,1,7,8,90,0,0,0,1,0,0,0,0,0,0,0,0.000000,45,-250,3398,2,252
9,88,66,1,8,True,2024-05-20T15:00:00Z,1,0,9,90,0,0,1,0,0,0,0,0,3,1,0,0.000000,45,-194,3212,6,200
10,88,80,16,2,False,2024-05-26T15:00:00Z,3,0,10,90,0,0,0,3,0,0,0,0,3,0,0,0.000000,45,-75,2945,29,104
11,88,85,2,7,True,2024-06-01T16:00:00Z,1,2,11,90,0,0,0,2,1,0,0,0,3,0,0,0.000000,45,-52,3097,9,61
12,88,93,12,4,False,2024-06-27T17:00:00Z,1,2,12,90,0,0,0,1,0,0,0,0,3,1,0,0.000000,44,78,3190,146,68
13,88,102,15,6,True,2024-07-07T15:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,2,0,0,0.000000,44,21,3226,63,42
14,88,112,10,3,False,2024-07-13T15:00:00Z,1,2,14,90,0,0,0,1,0,0,0,0,3,0,0,0.000000,44,74,3312,98,24
15,88,120,3,3,True,2024-07-21T15:00:00Z,0,1,15,90,0,0,0,1,0,0,0,0,3,0,0,0.000000,44,138,3504,210,72
16,88,134,16,2,True,2024-08-04T15:00:00Z,3,3,17,90,0,0,0,3,0,0,0,0,4,0,0,0.000000,44,7,3473,54,47
17,88,139,5,11,False,2024-08-10T14:00:00Z,0,1,18,90,0,0,1,0,0,0,0,0,6,3,0,0.000000,44,-6,3472,41,47
18,88,147,10,8,True,2024-08-18T15:00:00Z,1,0,19,90,0,0,1,0,0,0,0,0,1,2,0,0.000000,44,248,4095,291,43
19,88,157,9,2,False,2024-08-25T15:00:00Z,3,0,20,90,0,0,0,3,0,0,0,0,4,0,0,0.000000,44,236,3979,299,63
20,88,163,12,3,True,2024-09-01T15:00:00Z,1,1,21,90,0,0,0,1,0,0,0,0,3,0,0,0.000000,44,283,4267,358,75
21,88,169,1,2,False,2024-09-13T17:00:00Z,3,0,22,90,0,0,0,3,0,0,0,0,4,0,0,0.000000,45,7,4076,140,133
22,88,179,8,6,True,2024-09-21T16:00:00Z,5,0,23,90,0,0,1,0,0,0,0,0,2,0,0,0.000000,45,55,4338,122,67
23,88,192,14,2,False,2024-09-29T12:30:00Z,1,1,24,90,0,0,0,1,0,0,0,0,1,0,0,0.000000,45,75,4409,103,28
24,88,194,13,1,True,2024-10-20T15:00:00Z,0,2,25,90,0,0,0,2,0,0,0,0,2,0,0,0.000000,45,53,4491,96,43
25,88,203,7,10,True,2024-10-27T16:00:00Z,1,0,26,90,0,0,1,0,0,0,0,0,3,3,0,0.000000,45,5,4484,23,18
26,88,215,15,1,False,2024-11-03T16:00:00Z,3,3,27,90,0,0,0,3,0,0,0,0,2,0,0,0.000000,45,12,4458,32,20
27,88,219,11,3,True,2024-11-10T16:00:00Z,0,2,28,90,0,0,0,2,0,0,0,0,6,0,0,0.000000,45,-41,4431,9,50
28,88,225,3,2,False,2024-11-23T16:00:00Z,1,0,29,90,0,0,0,1,0,0,0,0,2,0,0,0.000000,45,-45,4351,17,62
29,88,235,6,3,True,2024-12-01T16:00:00Z,0,2,30,90,0,0,0,2,0,0,0,0,8,0,0,0.000000,45,169,4795,202,33
30,220,4,14,6,True,2024-04-01T15:00:00Z,4,0,1,90,0,0,1,0,0,0,0,0,0,0,0,0.000000,65,0,19668,0,0
31,220,11,4,5,False,2024-04-07T15:00:00Z,0,1,2,90,0,0,1,0,0,0,1,0,0,0,0,0.000000,65,155,20897,381,226
32,220,18,7,9,True,2024-04-14T15:00:00Z,2,0,3,70,0,1,1,0,0,0,0,0,0,0,0,0.000000,65,348,21390,472,124
33,220,25,10,1,True,2024-04-17T16:00:00Z,1,2,3,59,0,0,0,1,0,0,0,0,0,0,0,0.000000,65,348,21390,472,124
34,220,33,1,0,False,2024-04-21T17:15:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,65,-5623,15767,276,5899
35,220,38,5,0,True,2024-04-28T15:00:00Z,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,65,-4410,11359,13,4423
36,220,47,12,1,False,2024-05-05T15:00:00Z,3,1,6,45,0,0,0,0,0,0,0,0,0,0,0,0.000000,64,-1100,10269,44,1144
37,220,50,11,0,True,2024-05-11T16:00:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,64,13,10302,281,268
38,220,62,10,0,False,2024-05-16T16:00:00Z,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,64,-954,9336,35,989
39,220,70,13,0,True,2024-05-20T15:00:00Z,2,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,64,-762,8580,0,762
40,220,81,2,1,False,2024-05-26T17:15:00Z,1,3,10,9,0,0,0,0,0,0,0,0,0,0,0,0.000000,64,-423,8038,1,424
41,220,86,16,1,True,2024-06-02T12:30:00Z,2,2,11,63,0,0,0,2,0,0,0,0,0,0,0,0.000000,64,-55,8125,62,117
42,220,98,15,12,False,2024-06-28T19:15:00Z,0,2,12,90,0,1,1,0,0,0,0,0,0,3,0,0.000000,64,-24,8131,46,70
43,220,106,8,12,True,2024-07-07T15:00:00Z,3,0,13,90,0,2,1,0,0,0,0,0,0,0,0,0.000000,64,519,8630,535,16
44,220,110,3,6,False,2024-07-13T15:00:00Z,0,0,14,90,0,0,1,0,0,0,0,0,0,0,0,0.000000,65,558,9204,573,15
45,220,123,6,7,True,2024-07-20T18:15:00Z,2,3,15,90,0,2,0,3,0,0,0,0,0,0,0,0.000000,65,335,9742,374,39
46,220,131,16,1,False,2024-07-28T17:15:00Z,1,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0.000000,66,402,9961,527,125
47,220,141,8,2,False,2024-08-11T17:15:00Z,1,2,18,63,0,0,0,1,0,0,0,0,0,0,0,0.000000,66,106,9838,152,46
48,220,157,4,0,True,2024-08-25T15:00:00Z,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,66,-348,9009,14,362
49,220,166,11,1,False,2024-09-01T15:00:00Z,2,1,21,28,0,0,0,1,0,0,0,0,0,0,0,0.000000,65,-299,8710,28,327
50,220,172,3,8,True,2024-09-14T16:00:00Z,6,1,22,66,1,0,0,1,0,0,0,0,0,0,0,0.000000,65,320,9385,451,131
51,220,149,7,6,False,2024-09-18T16:00:00Z,0,4,22,79,0,0,1,0,0,0,0,0,0,0,0,0.000000,65,320,9385,451,131
52,220,180,6,2,False,2024-09-23T17:00:00Z,1,1,23,90,0,0,0,1,0,0,0,0,0,0,0,0.000000,65,291,9339,409,118
53,220,188,15,0,True,2024-09-28T12:00:00Z,5,3,24,16,0,0,0,2,0,0,0,0,0,0,0,0.000000,65,91,9448,258,167
54,220,197,12,0,True,2024-10-19T14:00:00Z,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,65,-719,8676,15,734
55,220,204,5,0,False,2024-10-27T16:00:00Z,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,65,-290,8413,0,290
56,220,212,1,0,True,2024-11-03T16:00:00Z,3,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,65,-236,8168,1,237
57,220,223,13,0,False,2024-11-10T16:00:00Z,2,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,65,-212,7957,0,212
58,220,228,2,1,True,2024-11-23T16:00:00Z,2,1,29,1,0,0,0,0,0,0,0,0,0,0,0,0.000000,65,-86,7884,8,94
59,220,240,14,1,False,2024-12-01T16:00:00Z,1,0,30,59,0,0,0,1,0,0,0,0,0,0,0,0.000000,65,72,8078,97,25
60,87,8,6,2,False,2024-04-02T17:00:00Z,1,1,1,90,0,0,0,1,0,0,0,0,0,0,0,0.000000,45,0,1733,0,0
61,87,11,9,2,True,2024-04-07T15:00:00Z,0,1,2,90,0,0,0,1,0,0,0,0,0,0,0,0.000000,45,-64,1709,12,76
62,87,20,11,-1,False,2024-04-14T15:00:00Z,1,0,3,79,0,0,0,1,0,0,0,1,0,0,0,0.000000,45,-51,1666,11,62
63,87,24,2,0,False,2024-04-17T16:00:00Z,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,45,-51,1666,11,62
64,87,26,14,2,True,2024-04-21T12:30:00Z,0,1,4,90,0,0,0,1,0,0,0,0,0,0,0,0.000000,45,-158,1502,2,160
65,87,37,8,2,False,2024-04-28T15:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,0.000000,45,-99,1403,1,100
66,87,45,7,2,False,2024-05-05T15:00:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,0.000000,44,-61,1343,3,64
67,87,52,5,9,True,2024-05-12T15:00:00Z,2,2,7,90,1,0,0,2,0,0,0,0,0,2,0,0.000000,44,-48,1298,2,50
68,87,64,13,14,False,2024-05-16T16:00:00Z,1,7,8,90,1,1,0,1,0,0,0,0,0,3,0,0.000000,44,3,1301,17,14
69,87,66,1,5,True,2024-05-20T15:00:00Z,1,0,9,90,0,0,1,0,0,0,1,0,0,0,0,0.000000,44,228,1553,266,38
70,87,80,16,1,False,2024-05-26T15:00:00Z,3,0,10,60,0,0,0,2,0,0,0,0,0,0,0,0.000000,44,199,1804,221,22
71,87,85,2,1,True,2024-06-01T16:00:00Z,1,2,11,45,0,0,0,1,0,0,0,0,0,0,0,0.000000,44,50,1856,133,83
72,87,93,12,2,False,2024-06-27T17:00:00Z,1,2,12,90,0,0,0,1,0,0,0,0,0,0,0,0.000000,44,-12,1862,37,49
73,87,102,15,9,True,2024-07-07T15:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,3,0,0.000000,44,-25,1837,25,50
74,87,112,10,11,False,2024-07-13T15:00:00Z,1,2,14,90,1,0,0,1,0,0,0,0,0,3,0,0.000000,44,45,1881,60,15
75,87,120,3,2,True,2024-07-21T15:00:00Z,0,1,15,90,0,0,0,1,0,0,0,0,0,0,0,0.000000,44,325,2270,360,35
76,87,134,16,0,True,2024-08-04T15:00:00Z,3,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,45,236,2659,286,50
77,87,139,5,0,False,2024-08-10T14:00:00Z,0,1,18,46,0,0,0,0,0,0,1,0,0,0,0,0.000000,45,-40,2608,42,82
78,87,147,10,6,True,2024-08-18T15:00:00Z,1,0,19,90,0,0,1,0,0,0,0,0,0,0,0,0.000000,45,9,2692,119,110
79,87,157,9,1,False,2024-08-25T15:00:00Z,3,0,20,90,0,0,0,3,0,0,0,0,0,0,0,0.000000,45,16,2640,105,89
80,87,163,12,2,True,2024-09-01T15:00:00Z,1,1,21,90,0,0,0,1,0,0,0,0,0,0,0,0.000000,45,83,2740,176,93
81,87,169,1,1,False,2024-09-13T17:00:00Z,3,0,22,90,0,0,0,3,0,0,0,0,0,0,0,0.000000,45,-96,2482,34,130
82,87,179,8,6,True,2024-09-21T16:00:00Z,5,0,23,90,0,0,1,0,0,0,0,0,0,0,0,0.000000,45,-41,2594,36,77
83,87,192,14,2,False,2024-09-29T12:30:00Z,1,1,24,86,0,0,0,1,0,0,0,0,0,0,0,0.000000,45,-14,2588,31,45
84,87,194,13,0,True,2024-10-20T15:00:00Z,0,2,25,45,0,0,0,2,0,0,0,0,0,0,0,0.000000,45,21,2616,67,46
85,87,203,7,1,True,2024-10-27T16:00:00Z,1,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0.000000,45,-17,2601,15,32
86,87,215,15,7,False,2024-11-03T16:00:00Z,3,3,27,6,1,0,0,0,0,0,0,0,0,0,0,0.000000,45,-54,2532,7,61
87,87,219,11,1,True,2024-11-10T16:00:00Z,0,2,28,90,0,0,0,2,0,0,0,0,0,0,0,0.000000,45,13,2547,58,45
88,87,225,3,0,False,2024-11-23T16:00:00Z,1,0,29,4,0,0,0,0,0,0,1,0,0,0,0,0.000000,45,-6,2533,46,52
89,87,235,6,1,True,2024-12-01T16:00:00Z,0,2,30,29,0,0,0,0,0,0,0,0,0,0,0,0.000000,45,23,2527,76,53
90,68,6,15,17,False,2024-04-01T15:00:00Z,2,4,1,68,2,0,0,1,0,0,0,0,0,3,0,0.000000,70,0,28353,0,0
91,68,15,3,1,True,2024-04-07T17:15:00Z,0,2,2,90,0,0,0,2,0,0,0,0,0,0,0,0.000000,71,1174,31539,1498,324
92,68,17,16,0,False,2024-04-14T12:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,71,202,32045,531,329
93,68,24,4,9,True,2024-04-17T16:00:00Z,1,0,3,90,0,0,1,0,0,0,0,0,0,3,0,0.000000,71,202,32045,531,329
94,68,27,10,0,True,2024-04-21T15:00:00Z,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,71,225,32359,647,422
95,68,36,6,0,False,2024-04-28T15:00:00Z,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,71,-503,31943,330,833
96,68,42,11,0,True,2024-05-04T16:00:00Z,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,71,-3050,28949,169,3219
97,68,57,8,13,False,2024-05-12T17:15:00Z,0,2,7,45,1,1,0,0,0,0,0,0,0,3,0,0.000000,70,-2601,26354,160,2761
98,68,59,12,1,True,2024-05-16T16:00:00Z,2,1,8,5,0,0,0,1,0,0,0,0,0,0,0,0.000000,71,1353,27795,2089,736
99,68,68,7,1,False,2024-05-20T15:00:00Z,2,2,9,69,0,0,0,2,0,0,0,0,0,0,0,0.000000,71,34,27849,878,844
100,68,81,9,1,True,2024-05-26T17:15:00Z,1,3,10,9,0,0,0,0,0,0,0,0,0,0,0,0.000000,71,-600,26864,282,882
101,68,82,7,8,True,2024-05-29T17:00:00Z,2,1,10,16,1,0,0,0,0,0,0,0,0,1,0,0.000000,71,-600,26864,282,882
102,68,85,4,8,False,2024-06-01T16:00:00Z,1,2,11,75,1,0,0,1,0,1,0,0,0,2,0,0.000000,71,-274,27084,493,767
103,68,95,14,0,True,2024-06-28T17:00:00Z,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,72,221,27427,520,299
104,68,101,1,0,False,2024-07-07T12:30:00Z,5,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,71,-2820,24539,71,2891
105,68,115,5,0,True,2024-07-13T17:15:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,71,-2375,22134,8,2383
106,68,118,13,2,False,2024-07-20T16:00:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,0.000000,71,-1097,21009,34,1131
107,68,138,14,1,False,2024-08-04T15:00:00Z,2,3,17,90,0,0,0,2,0,0,0,0,0,0,0,0.000000,71,25,20487,204,179
108,68,146,3,6,False,2024-08-18T12:30:00Z,0,4,19,90,0,0,1,0,0,0,0,0,0,0,0,0.000000,71,126,20866,318,192
109,68,161,13,1,True,2024-09-01T17:15:00Z,1,3,21,45,0,0,0,1,0,0,0,0,0,0,0,0.000000,71,388,20734,689,301
110,68,174,12,0,False,2024-09-15T15:00:00Z,2,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,71,-820,19625,265,1085
111,68,154,6,6,True,2024-09-18T17:00:00Z,2,0,22,87,0,0,1,0,0,0,0,0,0,0,0,0.000000,71,-820,19625,265,1085
112,68,177,1,0,True,2024-09-22T12:30:00Z,4,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,71,-328,19587,63,391
113,68,186,5,6,False,2024-09-28T16:00:00Z,0,1,24,73,0,0,1,0,0,0,0,0,0,0,0,0.000000,71,-272,19328,26,298
114,68,198,11,3,False,2024-10-20T12:30:00Z,1,2,25,90,0,0,0,1,0,0,0,0,0,1,0,0.000000,71,-136,19219,49,185
115,68,202,15,6,True,2024-10-27T18:15:00Z,4,0,26,90,0,0,1,0,0,0,0,0,0,0,0,0.000000,71,7,19222,114,107
116,68,213,10,0,False,2024-11-03T16:00:00Z,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,71,174,19469,239,65
117,68,218,8,0,True,2024-11-09T17:00:00Z,2,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,71,-215,19194,69,284
118,68,228,9,0,False,2024-11-23T16:00:00Z,2,1,29,45,0,0,0,0,0,0,1,0,0,0,0,0.000000,71,-346,18795,18,364
119,68,234,16,1,True,2024-12-01T16:00:00Z,1,1,30,32,0,0,0,0,0,0,0,0,0,0,0,0.000000,70,-183,18614,13,196
120,28,2,3,3,False,2024-04-01T12:30:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,0,0,0.000000,115,0,13309,0,0
121,28,9,16,3,True,2024-04-06T16:00:00Z,1,0,2,90,0,0,1,0,0,0,0,0,0,0,0,0.000000,115,-267,13592,178,445
122,28,22,8,2,False,2024-04-14T17:15:00Z,0,5,3,90,0,0,1,0,0,0,1,0,0,0,0,0.000000,114,-3149,10412,42,3191
123,28,33,9,2,True,2024-04-21T17:15:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,0.000000,113,-1741,8752,57,1798
124,28,34,11,1,False,2024-04-27T16:00:00Z,1,3,5,90,0,0,0,1,0,0,1,0,0,0,0,0.000000,113,-1389,7372,27,1416
125,28,43,14,0,True,2024-05-05T15:00:00Z,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,112,-1357,6021,16,1373
126,28,51,7,9,False,2024-05-12T12:30:00Z,2,4,7,29,1,1,0,1,0,0,1,0,0,1,0,0.000000,112,-792,5229,3,795
127,28,58,15,6,True,2024-05-16T16:00:00Z,4,0,8,21,1,0,0,0,0,0,0,0,0,0,0,0.000000,111,-141,5097,50,191
128,28,66,4,2,False,2024-05-20T15:00:00Z,1,0,9,90,0,0,0,1,0,0,0,0,0,0,0,0.000000,111,-26,5071,97,123
129,28,74,6,13,True,2024-05-24T17:00:00Z,2,2,10,90,1,1,0,2,0,0,0,0,0,3,0,0.000000,111,52,6423,147,95
130,28,84,12,1,True,2024-05-29T17:00:00Z,1,1,10,45,0,0,0,0,0,0,0,0,0,0,0,0.000000,111,52,6423,147,95
131,28,87,5,4,False,2024-06-02T15:00:00Z,0,1,11,90,0,0,1,0,0,0,0,0,0,1,0,0.000000,111,78,5226,162,84
132,28,97,13,2,False,2024-06-28T17:00:00Z,1,2,12,90,0,0,0,1,0,0,0,0,0,0,0,0.000000,111,96,5392,153,57
133,28,101,2,1,True,2024-07-07T12:30:00Z,5,1,13,30,0,0,0,1,0,0,0,0,0,0,0,0.000000,111,-121,5212,67,188
134,28,113,12,1,False,2024-07-13T15:00:00Z,2,1,14,45,0,0,0,1,0,0,0,0,0,0,0,0.000000,111,100,5311,216,116
135,28,117,10,0,True,2024-07-19T17:00:00Z,3,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,111,-188,5103,227,415
136,28,126,6,2,False,2024-07-27T14:00:00Z,1,1,16,70,0,0,0,1,0,0,0,0,0,0,0,0.000000,111,-236,4881,21,257
137,28,132,5,2,True,2024-08-03T16:00:00Z,4,2,17,86,0,0,0,2,0,0,0,0,0,0,0,0.000000,111,43,4937,89,46
138,28,144,16,1,False,2024-08-10T16:00:00Z,1,1,18,30,0,0,0,1,0,0,0,0,0,0,0,0.000000,111,-30,4895,31,61
139,28,153,13,6,True,2024-08-24T14:00:00Z,6,0,20,23,1,0,0,0,0,0,0,0,0,0,0,0.000000,111,88,4872,193,105
140,28,167,14,1,False,2024-09-01T15:00:00Z,0,1,21,45,0,0,0,0,0,0,0,0,0,0,0,0.000000,111,97,4972,149,52
141,28,169,4,7,True,2024-09-13T17:00:00Z,3,0,22,68,0,1,1,0,0,0,0,0,0,1,0,0.000000,111,61,5529,129,68
142,28,177,2,2,False,2024-09-22T12:30:00Z,4,1,23,90,0,0,0,4,0,0,0,0,0,0,0,0.000000,111,80,5119,124,44
143,28,185,7,16,True,2024-09-29T15:00:00Z,4,0,24,76,2,0,1,0,0,0,0,0,0,3,0,0.000000,112,257,5407,296,39
144,28,199,15,3,False,2024-10-19T16:00:00Z,0,0,25,90,0,0,1,0,0,0,0,0,0,0,0,0.000000,113,1182,6646,1212,30
145,28,201,11,2,True,2024-10-28T18:00:00Z,2,3,26,90,0,0,0,3,0,0,0,0,0,0,0,0.000000,114,337,6919,362,25
146,28,212,9,5,False,2024-11-03T16:00:00Z,3,3,27,90,0,1,0,3,0,0,0,0,0,0,0,0.000000,114,166,7037,297,131
147,28,217,3,5,True,2024-11-10T18:15:00Z,2,2,28,90,0,1,0,2,0,0,0,0,0,0,0,0.000000,115,168,7337,263,95
148,28,229,10,14,False,2024-11-23T16:00:00Z,0,2,29,90,1,1,1,0,0,0,0,0,0,3,0,0.000000,115,754,8268,837,83
149,28,233,8,7,True,2024-12-01T16:00:00Z,5,2,30,88,1,0,0,2,0,0,0,0,0,0,0,0.000000,116,1298,10175,1325,27
150,189,3,7,2,True,2024-04-01T15:00:00Z,2,3,1,76,0,0,0,3,0,0,0,0,0,0,0,0.000000,65,0,5215,0,0
151,189,12,5,3,False,2024-04-07T15:00:00Z,0,2,2,67,0,0,1,0,0,0,0,0,0,0,0,0.000000,65,-576,4783,28,604
152,189,22,1,2,True,2024-04-14T17:15:00Z,0,5,3,62,0,0,0,3,0,0,0,0,0,0,0,0.000000,64,-1723,3025,14,1737
153,189,30,12,1,False,2024-04-21T15:00:00Z,0,1,4,53,0,0,0,0,0,0,0,0,0,0,0,0.000000,63,-453,2632,44,497
154,189,37,4,1,True,2024-04-28T15:00:00Z,1,1,5,16,0,0,0,0,0,0,0,0,0,0,0,0.000000,63,-389,2243,12,401
155,189,48,13,3,False,2024-05-05T15:00:00Z,1,0,6,64,0,0,1,0,0,0,0,0,0,0,0,0.000000,62,-274,1972,1,275
156,189,57,2,1,True,2024-05-12T17:15:00Z,0,2,7,14,0,0,0,1,0,0,0,0,0,0,0,0.000000,62,-185,1787,0,185
157,189,65,16,0,False,2024-05-16T16:00:00Z,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,61,-270,1515,1,271
158,189,69,3,0,True,2024-05-20T15:00:00Z,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,61,-178,1340,0,178
159,189,77,10,1,False,2024-05-26T15:00:00Z,2,1,10,27,0,0,0,2,0,0,0,0,0,0,0,0.000000,61,-55,1274,0,55
160,189,91,15,1,False,2024-06-02T15:00:00Z,1,2,11,26,0,0,0,1,0,0,0,0,0,0,0,0.000000,61,-20,1263,0,20
161,189,94,6,0,True,2024-06-27T19:15:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,61,-6,1261,0,6
162,189,106,9,1,False,2024-07-07T15:00:00Z,3,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0.000000,61,-1,1260,1,2
163,189,111,14,1,True,2024-07-13T15:00:00Z,3,1,14,45,0,0,0,0,0,0,0,0,0,0,0,0.000000,61,-5,1255,0,5
164,189,127,13,1,True,2024-07-28T15:00:00Z,2,2,16,10,0,0,0,0,0,0,0,0,0,0,0,0.000000,61,-8,1243,0,8
165,189,135,7,0,False,2024-08-04T15:00:00Z,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,61,-11,1232,0,11
166,189,141,9,1,True,2024-08-11T17:15:00Z,1,2,18,7,0,0,0,1,0,0,0,0,0,0,0,0.000000,61,-2,1230,0,2
167,189,146,2,1,True,2024-08-18T12:30:00Z,0,4,19,57,0,0,0,1,0,0,0,0,0,0,0,0.000000,61,25,1266,29,4
168,189,155,5,3,False,2024-08-25T15:00:00Z,1,0,20,64,0,0,1,0,0,0,0,0,0,0,0,0.000000,61,18,1274,26,8
169,189,162,10,3,True,2024-08-31T16:00:00Z,2,0,21,77,0,0,1,0,0,0,0,0,0,0,0,0.000000,61,8,1282,12,4
170,189,172,9,2,False,2024-09-14T16:00:00Z,6,1,22,66,0,0,0,6,0,0,0,0,0,0,0,0.000000,61,-8,1266,3,11
171,189,178,16,6,True,2024-09-22T17:15:00Z,3,2,23,76,0,1,1,0,0,0,0,0,0,0,0,0.000000,61,-7,1267,1,8
172,189,191,13,11,False,2024-09-28T18:00:00Z,0,1,24,78,1,0,1,0,0,0,0,0,0,3,0,0.000000,61,-2,1265,1,3
173,189,193,8,2,True,2024-10-20T17:15:00Z,2,1,25,62,0,0,0,1,0,0,0,0,0,0,0,0.000000,61,86,1370,90,4
174,189,208,14,1,False,2024-10-26T16:00:00Z,2,0,26,30,0,0,0,0,0,0,0,0,0,0,0,0.000000,61,-7,1366,9,16
175,189,209,7,1,True,2024-11-03T16:00:00Z,1,1,27,26,0,0,0,0,0,0,0,0,0,0,0,0.000000,61,-11,1354,1,12
176,189,217,1,6,False,2024-11-10T18:15:00Z,2,2,28,12,1,0,0,1,0,0,0,0,0,0,0,0.000000,61,-18,1332,0,18
177,189,225,4,1,True,2024-11-23T16:00:00Z,1,0,29,58,0,0,0,0,0,0,0,0,0,0,0,0.000000,61,-4,1332,3,7
178,189,238,12,1,False,2024-12-01T16:00:00Z,0,1,30,45,0,0,0,0,0,0,0,0,0,0,0,0.000000,61,-13,1311,0,13
179,276,5,12,8,True,2024-04-01T15:00:00Z,2,0,1,90,0,1,1,0,0,0,0,0,0,2,0,0.000000,65,0,20947,0,0
180,276,14,14,2,False,2024-04-07T15:00:00Z,1,0,2,73,0,0,0,1,0,0,0,0,0,0,0,0.000000,65,263,22910,603,340
181,276,20,4,2,True,2024-04-14T15:00:00Z,1,0,3,90,0,0,1,0,0,0,1,0,0,0,0,0.000000,65,-1738,21280,196,1934
182,276,28,5,5,False,2024-04-21T15:00:00Z,1,3,4,90,0,1,0,1,0,0,0,0,0,0,0,0.000000,65,-1633,19905,193,1826
183,276,34,1,2,True,2024-04-27T16:00:00Z,1,3,5,80,0,0,0,3,0,0,0,0,0,0,0,0.000000,65,-1077,18898,173,1250
184,276,42,2,2,False,2024-05-04T16:00:00Z,3,0,6,90,0,0,0,3,0,0,0,0,0,0,0,0.000000,64,-1428,17521,72,1500
185,276,50,9,9,False,2024-05-11T16:00:00Z,2,2,7,90,1,0,0,2,0,0,0,0,0,2,0,0.000000,64,-1112,16430,31,1143
186,276,63,6,1,True,2024-05-16T16:00:00Z,1,3,8,59,0,0,0,2,0,0,0,0,0,0,0,0.000000,64,261,16738,497,236
